id	name	bbx
1092	Lickóvadamos	16.753536,46.7200974,16.7947731,46.7591611
988	Babosdöbréte	16.7536079,46.7804548,16.8103317,46.8450091
1186	Tótszerdahely	16.7575956,46.3764762,16.8246379,46.412367
2675	Lövő	16.7578718,47.4813703,16.8331806,47.5358055
2652	Hegykő	16.7582425,47.5805178,16.836438,47.6749705
2881	Gór	16.7647381,47.328227,16.8344071,47.3618308
2913	Kenéz	16.7647428,47.1911622,16.8137704,47.2220579
1184	Tófej	16.768745,46.6536547,16.840917,46.6896747
1039	Gellénháza	16.7689073,46.7500649,16.8089165,46.7746546
1207	Zalaegerszeg	16.7694368,46.7803888,16.9069325,46.9002981
2979	Porpác	16.7748704,47.2271331,16.8303718,47.2536071
1078	Kiskutas	16.7774071,46.8965862,16.817971,46.9321002
1185	Tótszentmárton	16.7784184,46.4026283,16.8416506,46.434364
2858	Csempeszkopács	16.7792368,47.144804,16.831699,47.1709665
2836	Andrásfa	16.7799612,46.9477057,16.8198227,46.9804575
1151	Pusztaederics	16.7808117,46.6131907,16.8196627,46.6587702
2692	Nemeskér	16.7811699,47.4733953,16.8541929,47.5012433
3009	Szeleste	16.7825915,47.2845526,16.8531285,47.3442771
3046	Rábatöttös	16.784079,47.1130023,16.8226711,47.1485655
2893	Hegyhátszentpéter	16.7848715,46.9753042,16.8241398,47.0204661
2743	Újkér	16.7849935,47.4350509,16.8953278,47.5073754
2848	Bő	16.7856239,47.356786,16.8380721,47.4116988
1114	Nagykutas	16.7864756,46.9133537,16.8216279,46.9508188
2929	Lócs	16.788295,47.3951426,16.8261759,47.4214787
991	Bak	16.7895454,46.7047159,16.8578524,46.7703508
2898	Iklanberény	16.7896328,47.4138294,16.8195918,47.4354941
2635	Fertőszéplak	16.7902908,47.5951325,16.8631291,47.6770883
2621	Ebergőc	16.7911304,47.5457226,16.8265935,47.5736497
2973	Pecöl	16.7911662,47.1670832,16.8534796,47.2314442
1172	Szentliszló	16.791694,46.5625107,16.8334104,46.5908049
1189	Valkonya	16.7978364,46.4817882,16.8325725,46.5218671
992	Baktüttös	16.7990852,46.6804973,16.8476306,46.7142157
1152	Pusztamagyaród	16.800494,46.5853359,16.8720304,46.63416
3041	Zsennye	16.8040191,47.0995284,16.8449518,47.1318736
2846	Bögöt	16.8059228,47.236826,16.8454313,47.2621192
1004	Bocfölde	16.8067561,46.7612327,16.8588205,46.7898236
1079	Kispáli	16.807883,46.8937888,16.8369012,46.9279787
1128	Oltárc	16.8080043,46.486095,16.8873456,46.5657654
1013	Bucsuta	16.8100024,46.5492278,16.8767661,46.6217549
2723	Röjtökmuzsaj	16.8104032,47.5148453,16.887237,47.5829221
2967	Ölbő	16.8107775,47.2639511,16.8982049,47.3184045
1153	Pusztaszentlászló	16.8112748,46.6182672,16.8632308,46.6590819
1107	Molnári	16.8112769,46.3613005,16.8699738,46.4036925
2991	Rum	16.8132855,47.0858676,16.8814477,47.1509482
1235	Lakhegy	16.8141853,46.9308151,16.8482208,46.9807238
2935	Meggyeskovácsi	16.8146944,47.1297644,16.9032572,47.1868553
2997	Simaság	16.8156408,47.4083381,16.8666485,47.4490711
3047	Alsóújlak	16.8166826,47.0490734,16.9083749,47.1023538
